英語,日本語
"Okiku (later Kikuko, married with a brother of Iwao OYAMA)",お菊（のち菊子、大山巌の弟と結婚）
otsume (a packer),お詰め
shrine visit,お宮参り
otomo uma (an attendant horse),お供馬
Okaru,お軽
omukae-chochin (a welcoming paper lantern),お迎え提灯
Okechimyaku,お血脈
foreign residents in Japan employed to teach new techniques,お雇い外国人
Oeyo no kata,お江与の方
an oracle,お告げ
ozashiki (banquets in which guests are attended by geisha),お座敷
tempura is cooked directly by eaters in a room),お座敷天ぷら
Ozashiki-Asobi (playing games with Geisha (Japanese professional female entertainer at drinking party)),お座敷遊び
Otondo-san,お歳徳(とんど)さん
Omatsuri-yumi (archery for the festival),お祭り弓
Ofudamaki (to strew the paper charm),お札まき
start of the mountain-climbing season,お山開き
Oichi no kata,お市の方
Otome school (school prohibited to contest with other schools),お止め流
Ohaguro (black painted teeth),お歯黒
Ohaguro-bettari,お歯黒べったり
Ohaguro Kinshirei (ban of Ohaguro),お歯黒禁止令
Oshika,お鹿
celebration of the seventh day after birth,お七夜
Oshakasama,お釈迦様
beanbag,お手玉
Ojuya (an important Buddhist rite in the Pure Land sect),お十夜（浄土宗の重要な仏教行事）
Otasuke Jizo-son,お助け地蔵尊
the Imperial train,お召し列車
Oshiro Matsuri (castle festival),お城まつり
instructions,お触れ
Ofuri-no-kata,お振の方
oshinko,お新香（おしんこ）
Omizutori (Water-Drawing Festival),お水取り
"Oshorai-san, spirit",お精霊（しょらい）さん
Onishi-san,お西さん
Oyuki,お雪
Osendo (a thousand visits to a shrine),お千度 （おせんど）
omaedachi,お前立ち
"a maskof Otafuku, a plain-looking woman'a mask",お多福の面
otafuku-giri (an otafuku-like paulownia),お多福桐
Odaiba,お台場
a wealthy person,お大尽
Odaimoku,お題目
hemming,お端折
Ojizo-san,お地蔵さん
Ojizo-sama,お地蔵様
Ochanomizu University,お茶の水女子大学
Ochaya (Teahouse),お茶屋
double as Ochaya and Okiya(a tea house and a lodging house where maiko or geisha lives),お茶屋兼置屋
tea ceremony,お茶席
boiled rice with tea poured over it (a bowl of rice and tea),お茶漬け
the tea pot journey,お茶壷道中
Oshirabe,お調べ
Ohigashi-san,お東さん
Oyu-dono no ue no nikki,お湯殿の上の日記
Main hall,お堂
Oume,お梅
Oshiraishi,お白石
Oshiraishimochi Gyoji,お白石持行事
100-prayer ritual,お百度参り
Ofudo-san,お不動さん
offering,お布施
Obon festival (a Festival of the Dead or Buddhist All Soul's Day) ,お盆
a coupon for tea,お抹茶券
Oman-no-kata,お万の方
Okihiki,お木曳き
Oyura-sodo (family feud over Narioki SHIMAZU's heir),お由羅騒動
"exorcism (Shinti rite), purification",お祓い
Gardens Amagase Brewery,ガーデンズ天ヶ瀬
Garden Museum Hiei,ガーデンミュージアム比叡
Garden Mall Kizukawa,ガーデンモール木津川
Cartoon Course,カートゥーンコース
Ｋabah,カアバ
Kali,カーリー
Karl Wilhelm,カール・ウィルヘルム
Karl Jaspers,カール・ヤスパース
Charles the Fifth (Holy Roman Emperor),カール5世 (神聖ローマ皇帝)
Carleton College,カールトン大学
silkworm,カイコ
Kaichi (Haetae),カイチ
GAINAX,ガイナックス
"kaimaki futon, a conforter with sleeves",かいまき布団
Cainz Home Arashiyama,カインズホーム 嵐山店
a maple tree,カエデ
Cacaxtla Archaeological Ruins,カカシュトラ遺跡
Kakayaku Fujitsubo (bright Fujitsubo),かかやく藤壺
bonfire,かがり火
kakitsubata (an iris),かきつばた
bark of diospyraceous kaki,カキノキの皮
shaved ice (flavored with syrup),かき氷
"kakiage (deep-fried vegetable strips, shrimp, etc.)",かき揚げ
Kagutsuchi (Kagutsuchino mikoto),カグツチ（かぐつちのみこと）
Kaguya Hime (Lady Kaguya),かぐや姫
Kagetomo-no-michi,かげとものみち
Kagoshima Natsu Matsuri (Kagoshima Summer Festival),かごしま夏祭り
magpie,カササギ
Kasane Colors,かさね色
Kajitori-hashi Bridge,かじとりはし
Kashinoki-en Mae,かしのき苑前
Kashinokidai,かしの木台
Gadjah Mada University,ガジャマダ大学
castella sponge cake,カステラ
Casto,カスト
Katakana(fragmentary kana),カタカナ
a part of skin for a hemisphere,かた穴
goose,ガチョウ
clapperboard,カチンコ
Kachinta,かちん太
Kachinta Company,かちん太一座
Katsuura Big Doll Festival (Katsuura City),かつうらビックひな祭り（勝浦市）
cut glass,カットガラス
Kappa Country,カッパカントリー
Kappa-matsuri Festival,かっぱ祭り
cup ramen,カップラーメン
a katsura (a katsura tree),カツラ
Katsuragi Interchange,かつらぎIC
catechin/polyphenols,カテキン/ポリフェノール類
the Katu (Co Tu) ethnic group,カトゥ族
Catholic Cemetery,カトリックの墓地
catholic KINUGASA parish,カトリック衣笠教会
a Roman Catholic priest,カトリック教会司祭
Catholic,カトリック信者
"St. Hoseph Roman Catholic Church, Nishijin",カトリック西陣聖ヨゼフ教会
gatling gun,ガトリング砲
Qanat Rakuhoku,カナート洛北
Methodist Church in Canada,カナダメソジスト教会
kaniarare pattern,かにあられ文
Kanichan Amino Chokkobin (nonstop bus to Amino),かにちゃんあみの直行便
supernova explosion in the Crab Nebula,かに星雲の超新星爆発
Kani Chokko Bus (Kani nonstop bus),かに直行バス
Ganesha,ガネーシャ
"Kanebo, Ltd",カネボウ株式会社
Kanemitsu,カネミツ
"kanoko, dapples",かの子
hippopotamus,カバ
"cabala, kabbalah",カバラ
Ngawa Tibetan-Qiang Autonomous Region,ガパ蔵族羌族自治州
turnip,カブ
caffeine,カフェイン
Kabusecha (covered tea),かぶせ茶
the Capetian Dynasty,カペー朝
Kamasu tip,かます切先
"kamaboko, fish minced and steamed, fish sausage, steamed fish paste",かまぼこ
Kamichu!,かみちゅ!
Kamimusubi,カミムスビ
Kaminchu,かみんちゅ
a gamelan,ガムラン
tortoise/ turtle,カメ
duckbill/ (duck-billed) platypus,カモノハシ
kamozoku (people those lived Kyoto basin to farm in Yayoi era),カモ族
Gaya Castle,ガヤー城
Kayabuki no Sato,かやぶきの里
Kayabuki no sato Kitamura,かやぶきの里・北村
Kayabuki Ongaku-do (The Straw Thatched Music Hall),かやぶき音楽堂
"Kaya Kosan Co.,Ltd.",カヤ興産
Color Guard,カラーガード
Hakata Color Image Weaving,カラー写真織技術
"Garasha, Gratia",ガラシャ
"Garasha (Gratia) Matsuri Festival, Gratia",ガラシャ祭り
Karasuma Kyoto Hotel,からすま京都ホテル
a glass ornament,ガラス製品
Karasu Tengu Uju,からす天狗うじゅ
karasensui (karesansuwi),カラセンスヰ
Kalamazoo College,カラマズー大学
caramel,カラメル
karasenzui,から泉水
"karage (deep-fried chicken, potatoes, etc)",から揚げ
Caria,カリア国
California sea lion,カリフォルニアシカ
University of California,カリフォルニア大学
Karuta Card,かるた
Cardan driving device,カルダン駆動 (装置)
"Karuta Commencement ceremony (Yasaka Jinja Shrine, Higashiyama Ward, Kyoto City)",かるた始め式（八坂神社（京都市東山区））
culture center,カルチャーセンター
"Culture Convenience Club Co.,Ltd",カルチュア・コンビニエンス・クラブ
the Culture Convenience Club store at Matsugasaki,カルチュア・コンビニエンス・クラブ松ヶ崎店
Cartier,カルティエ
ethyl carbamate,カルバミン酸エチル
California Scenario,カルフォルニア・シナリオ
Calmotin,カルモチン
curry flavored fried chicken,カレー風味のから揚げ
curry powder (curry salt),カレー粉（カレー塩）
karesenzui,カレセンズイ
Galleria Kameoka,ガレリアかめおか
Karel Fiala,カレル・フィアラ
Charles University in Prague,カレル大学
"Kawai Cable, Ltd.",カワイ電線株式会社
"Kawai Trading, Ltd.",カワイ電線商事
a common cormorant,カワウ
an otter,カワウソ
a common kingfisher,カワセミ
Kawarake Valley,かわらけ谷
Kawarake Nage (throwing earthen cup),かわらけ投げ
Kawaramachi Yoru Bus,かわらまち・よるバス
Ganko Takasegawa Nijoen,がんこ高瀬川二条苑
KAJUJI,かんじゅじ
Relief of Gandhara Buddhist Ruins,ガンダーラの仏教遺跡のレリーフ
Cantabria Province,カンタブリア州
Canterbury Tales,カンタベリー物語
Gandharba,ガンダルバ
plane,かんな
Cannes International Film Festival,カンヌ国際映画祭
ganpi,ガンピ
white-throated magpie,カンムリサンジャク
"KA-gyou henkaku katsuyo, KA-row irregular conjugation",か行変格活用
Keith Haring,キース・ヘリング
a key station,キー局
kiosk,キオスク
Thomas & Friends,きかんしゃトーマス
Kikyo-no-sato (flower park),ききょうの里
Chrysanthemum,キク
Kizakura Kappa Country,キザクラカッパカントリー
charity heart,きしゃごころ
Kizil Thousand-Buddha Cave,キジル千仏洞
Sillago,キス
Kitaoji Town,キタオオジタウン
a kickoff,キックオフ
Kikkoman Corporation,キッコーマン醤油
Kidzania,キッザニア
Kidzania Tokyo,キッザニア東京
the Kids' Science Museum of Photons,きっづ光科学館ふぉとん
Kitora Tomb,キトラ古墳
Kinu,キヌ
Kinukake no Michi Road,きぬかけの路
Mt. Kinukake,きぬかけ山
(Limited Express) Kinosaki,きのさき (列車)
cockatoo,キバタン
kimchi,キムチ
National Museum of Asian Art-Guimet,ギメ美術館
Canon,キヤノン
Capitol Tokyu Hotel,キャピトル東急ホテル
Diamant (glass),ギヤマン（硝子）
Career Center,キャリアセンター
Candy Brothers,キャンデーブラザース
Campus Plaza Kyoto,キャンパスプラザ京都
cucumber,キュウリ
the Kyoto Keihoku Furusato (hometown) public corporation,きょうと京北ふるさと公社
"Kyo-no-Ryori (today's dish), TV program",きょうの料理
kiosk,キヨスク (キオスク)
Greek mythology,ギリシア神話
Christian,キリシタン
Christian,キリシタン信者
Christian daimyo (Christian feudal lord),キリシタン大名
Sumitada OMURA of Christian daimyo,キリシタン大名の大村純忠
crackdown on Christian,キリシタン弾圧
Jesuit printing (kirishitan-ban),キリシタン版
Christian culture,キリシタン文化
Christianity,キリスト教
Christian church,キリスト教会堂
Anti-Christian Edicts,キリスト教禁教令
bulletin board banning Christianity,キリスト教禁制の高札
an oppressive measure toward Christianity,キリスト教弾圧政策
Center for Christian Culture,キリスト教文化センター
kiritate,きりたて
giraffe,キリン
"Kirin Beverage Company, Limited",キリンビバレッジ
Kirindo Hosono Station Store,キリン堂祝園駅店
tufted duck,キンクロハジロ
"Kinshi-masamune Co., Ltd",キンシ正宗株式会社
kinton (mashed sweet potatoes),きんとん
"Kimbell Art Museum (Fort Worth, USA)",キンベル美術館（アメリカ、フォート・ワース）
betel plant,キンマ
Cimmeria,キンメリア
Kinnikuman,キン肉マン
Kinnikuman Hour of Triumph! Seigi Choujin,キン肉マン 晴れ姿!正義超人
Kurhaus Iwataki,クアハウス岩滝
Guido Herman Fridolin Verbeek,グイド・フルベッキ
water rail,クイナ
Kuinabashi Station,くいな橋駅
Kuwait,クウェート
coups,クーデター
kukuri,くくり
hem sewn hakama,くくりの袴
Kuguri Hotei,くぐりほてい
Kushinagar (Kusinara),クシナガラ
Kushinadahime,クシナダヒメ
Kusana,クシャーナ朝
peacock,クジャク
Kuji torazu (eight floats not to draw lots for the parade order)),くじ取らず
Kuji torishiki (lottery for the parade order of floats),くじ取り式
Kuzugenjin-matsuri Festival (Kuzu primitive men Festival),くずう原人まつり
camphor tree,クスノキ
camphor tree timber,クスノキ材
Kuzuha Rose Town,くずはローズタウン
a passage (a paragraph),くだり
gardenia,クチナシ
broad-nosed caiman,クチヒロカイマン
a cookie,クッキー
Kutsuki-onsen Hot Spring,くつき温泉
Kutsuki Shinhonjin,くつき新本陣
Gucci,グッチ
Good Design Award,グッドデザイン賞
Kudozukuri,くど造り
a province,クニ
Gnecchi-Soldo Organtino,グネッキ・ソルディ・オルガンティノ
"Kunoichi, women Ninja (a group of secret agents)",くノ一
Kuba-Ogi,クバ扇
Kublai (Khan),クビライ
Kubera,クベーラ
mountain hawk-eagle,クマタカ
Kumanokusubi,クマノクスビ
Kumamoto cha (tea),くまもと茶
Kumihama SANKAIKAN,くみはまSANKAIKAN
Clarke Memorial Hall,クラーク記念館
Clarke Divinity Hall,クラーク神学館
climax,クライマックス
"Kracie Holdings, Ltd.",クラシエホールディングス株式会社
Graphic Design Course,グラフィックデザインコース
graffiti (doodle),グラフィティ（落書き）
Graffiti artists,グラフィティ・アーティスト
Kurama-onsen Hot Spring,くらま温泉
Kurawanka Fireworks Festival,くらわんか花火大会
crank,クランク (道路)
Grand Prince Hotel,グランドプリンスホテル
Grand Prince Hotel Kyoto,グランドプリンスホテル京都
Grandvert Kyoto Golf Club,クランベール京都ゴルフ倶楽部
chestnuts,クリ
Green belt,グリーンベルト
Greenmax Corporation,グリーンマックス
first-class car,グリーン車
CRYSTA Nagahori,クリスタ長堀
the Old Royal Naval College,グリニッジ海軍大学校
Griffith University,グリフィス大学
guri cha (tea),ぐり茶
cruzado,クルザード
Kurutto Bus,くるっとBUS
generated gluten,グルテン生成
gurume cona (food court),グルメコーナー
Crazy for You,クレイジー･フォー・ユー
claymore,クレイモア
Grevy's zebra,グレービーシマウマ
the Gregorian calendar,グレゴリオ暦
"Hi-Touch Research Park, Kuroi Electric Co., Ltd.",クロイ電機（株）「クロイハイタッチ研究所」
black-necked stilt,クロエリセイタカシギ
black-necked swan,クロエリハクチョウ
Claude Debussy,クロード・ドビュッシー
Claude MONET,クロード・モネ
Clover Hall,クローバーホール
Kurokane-yaki Jizo,くろかね焼地蔵
Kuroshio,くろしお (列車）
cross seat,クロスシート
Japanese black porgy,クロダイ
European black vulture,クロハゲワシ
kuwai (arrowhead),クワイ
Gunze Limited,グンゼ
Gunze Memorial Hall,グンゼ記念館
Gunze Museum,グンゼ博物苑
KEIHANNA PLAZA,けいはんなプラザ
KEIHANNA PLAZA HOTEL,けいはんなプラザホテル
Kansai Science City,けいはんな学研都市
Keihanna Commemorative Park,けいはんな記念公園
Keihanna Info-Communication Open Laboratory,けいはんな情報通信オープンラボ
Keihanna Line,けいはんな線
Keihanna Intellectual Special District,けいはんな知的特区
a cable car or a lift,ケーブルカーまたはリフト
Cable TV Wakasa Obama,ケーブルテレビ若狭小浜
Cable Network Kaminaka,ケーブルネットワークかみなか
Cable Enryakuji Station,ケーブル延暦寺駅
Cable Sakamoto Station,ケーブル坂本駅（ケーブルさかもとえき）
Cable-Yase Station,ケーブル八瀬駅
